season,team1,team2,venue,toss_winner,toss_decision,team1_avg_score,team2_avg_score,team1_win_rate,team2_win_rate,h2h_team1_wins,h2h_team2_wins,team1_key_player_fit,team2_key_player_fit,home_advantage,winner
2008,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chennai",Mumbai Indians,bat,166,170,0.64,0.64,5,1,1,0,1,Mumbai Indians
2008,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,bat,176,148,0.64,0.47,4,2,1,1,1,Chennai Super Kings
2008,Mumbai Indians,Kings XI Punjab,"Wankhede Stadium, Mumbai",Mumbai Indians,field,176,159,0.57,0.53,3,1,0,1,1,Mumbai Indians
2008,Rajasthan Royals,Kings XI Punjab,"Sawai Mansingh Stadium, Jaipur",Kings XI Punjab,field,149,174,0.49,0.42,4,1,1,1,1,Rajasthan Royals
2008,Kolkata Knight Riders,Rajasthan Royals,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat,174,155,0.58,0.57,2,1,1,1,1,Kolkata Knight Riders
2008,Rajasthan Royals,Chennai Super Kings,"Sawai Mansingh Stadium, Jaipur",Chennai Super Kings,field,154,180,0.47,0.67,1,5,0,0,1,Chennai Super Kings
2008,Deccan Chargers,Kolkata Knight Riders,"Rajiv Gandhi Stadium, Hyderabad",Kolkata Knight Riders,bat,163,163,0.49,0.58,2,1,1,1,1,Kolkata Knight Riders
2008,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chennai",Deccan Chargers,bat,179,157,0.6,0.5,5,2,1,0,1,Chennai Super Kings
2008,Royal Challengers Bangalore,Chennai Super Kings,"M Chinnaswamy Stadium, Bangalore",Chennai Super Kings,field,178,171,0.46,0.68,2,5,1,0,1,Royal Challengers Bangalore
2008,Mumbai Indians,Kings XI Punjab,"Wankhede Stadium, Mumbai",Mumbai Indians,bat,186,156,0.66,0.46,4,1,0,1,1,Mumbai Indians
2008,Deccan Chargers,Delhi Daredevils,"Rajiv Gandhi Stadium, Hyderabad",Delhi Daredevils,bat,163,172,0.39,0.51,3,3,0,1,1,Delhi Daredevils
2008,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,field,176,177,0.44,0.6,3,5,0,0,1,Kolkata Knight Riders
2008,Royal Challengers Bangalore,Delhi Daredevils,"M Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,field,175,149,0.43,0.44,3,2,0,0,1,Royal Challengers Bangalore
2008,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chennai",Mumbai Indians,bat,183,183,0.65,0.57,5,2,1,0,1,Chennai Super Kings
2008,Kings XI Punjab,Chennai Super Kings,"IS Bindra Stadium, Mohali",Kings XI Punjab,field,163,180,0.49,0.6,5,4,0,0,1,Chennai Super Kings
2008,Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,bat,177,167,0.54,0.51,5,3,0,0,1,Chennai Super Kings
2008,Mumbai Indians,Kings XI Punjab,"Wankhede Stadium, Mumbai",Kings XI Punjab,bat,182,158,0.59,0.47,5,1,0,1,1,Mumbai Indians
2008,Deccan Chargers,Kings XI Punjab,"Rajiv Gandhi Stadium, Hyderabad",Kings XI Punjab,bat,145,154,0.46,0.45,4,4,0,0,1,Kings XI Punjab
2008,Kings XI Punjab,Rajasthan Royals,"IS Bindra Stadium, Mohali",Rajasthan Royals,bat,158,154,0.43,0.49,1,5,1,0,1,Rajasthan Royals
2008,Deccan Chargers,Chennai Super Kings,"Rajiv Gandhi Stadium, Hyderabad",Deccan Chargers,field,159,162,0.38,0.68,2,6,0,0,1,Deccan Chargers
2008,Kolkata Knight Riders,Chennai Super Kings,"Eden Gardens, Kolkata",Chennai Super Kings,field,168,165,0.59,0.67,2,4,0,1,1,Chennai Super Kings
2008,Deccan Chargers,Royal Challengers Bangalore,"Rajiv Gandhi Stadium, Hyderabad",Royal Challengers Bangalore,field,146,166,0.41,0.55,5,5,0,1,1,Royal Challengers Bangalore
2008,Mumbai Indians,Delhi Daredevils,"Wankhede Stadium, Mumbai",Delhi Daredevils,bat,167,165,0.56,0.42,5,1,0,1,1,Mumbai Indians
2008,Kolkata Knight Riders,Delhi Daredevils,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat,166,170,0.55,0.46,3,2,1,0,1,Kolkata Knight Riders
2008,Kings XI Punjab,Chennai Super Kings,"IS Bindra Stadium, Mohali",Chennai Super Kings,field,161,183,0.53,0.54,5,5,0,0,1,Chennai Super Kings
2008,Kolkata Knight Riders,Delhi Daredevils,"Eden Gardens, Kolkata",Delhi Daredevils,bat,164,151,0.59,0.44,4,2,0,1,1,Kolkata Knight Riders
